预测值：0.6202083642263886 真实值：0.646666667 误差：4.09149011752%
预测值：0.5900059721986668 真实值：0.602222222 误差：2.02852856555%
预测值：0.5834207142619524 真实值：0.6 误差：2.76321428967%
预测值：0.4833203702866669 真实值：0.463333333 误差：4.31374905778%
预测值：0.6306253043337144 真实值：0.656666667 误差：3.96568974412%
预测值：0.5484991732917259 真实值：0.558333333 误差：1.76134203835%
预测值：0.553198267244881 真实值：0.561666667 误差：1.50772695847%
预测值：0.647582066479417 真实值：0.663888889 误差：2.45625778512%
预测值：0.5783419709056666 真实值：0.602777778 误差：4.05386661323%
预测值：0.6074242791853689 真实值：0.62 误差：2.02834206688%
预测值：0.6006419752695633 真实值：0.62 误差：3.1222620533%
预测值：0.6427526710682178 真实值：0.682777778 误差：5.86209865368%
预测值：0.5808204144564125 真实值：0.612777778 误差：5.21516358636%
预测值：0.5651048148224999 真实值：0.567777778 误差：0.470776293309%
预测值：0.5711264043785 真实值：0.58 误差：1.52993027957%
预测值：0.6403509259396668 真实值：0.635555556 误差：0.754516248721%
预测值：0.5413146297011666 真实值：0.536111111 误差：0.970604524771%
预测值：0.6280335270150154 真实值：0.636111111 误差：1.26983853061%
预测值：0.49407129623333357 真实值：0.468333333 误差：5.49565051637%
预测值：0.5944355555134999 真实值：0.61 误差：2.55154827648%
预测值：0.6204822531447224 真实值：0.626111111 误差：0.899019001002%
预测值：0.6167392592458331 真实值：0.640555556 误差：3.71806887491%
预测值：0.5608831503905558 真实值：0.588333333 误差：4.66575342068%
预测值：0.6341806546341825 真实值：0.636666667 误差：0.390473146259%
预测值：0.6411519576801666 真实值：0.651111111 误差：1.52956279682%
预测值：0.5071513888174999 真实值：0.498333333 误差：1.76950952978%
预测值：0.5438288426313332 真实值：0.560555556 误差：2.98395282852%
预测值：0.5796768782953335 真实值：0.576666667 误差：0.522001958427%
平均误差：2.47253646535%
